composition,Eg (eV),Classified,Compound,Number of Elements,Elements+Coeff,At no_sum,At no_wt_avg,At no_maximum,At no_minimum,At wt_sum,At wt_wt_avg,At wt_maximum,At wt_minimum,At Rad_sum,At Rad_wt_avg,At Rad_maximum,At Rad_minimum,Cov Rad_sum,Cov Rad_wt_avg,Cov Rad_maximum,Cov Rad_minimum,Ion Rad_sum,Ion Rad_wt_avg,Ion Rad_maximum,Ion Rad_minimum,No of val e-_sum,No of val e-_wt_avg,No of val e-_maximum,No of val e-_minimum,s e-_sum,s e-_wt_avg,s e-_maximum,s e-_minimum,p e-_sum,p e-_wt_avg,p e-_maximum,p e-_minimum,d e-_sum,d e-_wt_avg,d e-_maximum,d e-_minimum,outer shell e-_sum,outer shell e-_wt_avg,outer shell e-_maximum,outer shell e-_minimum,first IE_sum,first IE_wt_avg,first IE_maximum,first IE_minimum,polarizability_sum,polarizability_wt_avg,polarizability_maximum,polarizability_minimum,MP_sum,MP_wt_avg,MP_maximum,MP_minimum,BP_sum,BP_wt_avg,BP_maximum,BP_minimum,density_sum,density_wt_avg,density_maximum,density_minimum,specific heat_sum,specific heat_wt_avg,specific heat_maximum,specific heat_minimum,heat fusion_sum,heat fusion_wt_avg,heat fusion_maximum,heat fusion_minimum,heat vap_sum,heat vap_wt_avg,heat vap_maximum,heat vap_minimum,ther cond_sum,ther cond_wt_avg,ther cond_maximum,ther cond_minimum
Ag0.1Cd0.8In2.1Te4,0.29,1,Ag0.1Cd0.8In2.1Te4,4,"[['Ag', '0.1'], ['Cd', '0.8'], ['In', '2.1'], ['Te', '4']]",0.61038961,0.61985543,0.540229885,0.851851852,0.619723383,0.645305037,0.513995596,0.891525737,0.518191841,0.404623738,0.369668246,0.570422535,0.567164179,0.52277762,0.377358491,0.769784173,0.582689335,0.417774257,0.52284264,0.479041916,0.5,0.615763547,0.833333333,0,0.711111111,0.806732086,0.6,0.8,0.745098039,0.778867142,0.724137931,0.75,0.761904762,0.696969697,0.625,1,0.303030303,0.324675325,0.294117647,0,0.526748971,0.408244954,0.359428571,0.256929788,0.178674352,0.130321019,0.11780243,0.285960083,0.305674816,0.134756399,0.30543972,0.157877551,0.36254055,0.211552882,0.359758369,0.091872153,0.577011024,0.458988858,0.450623983,0.545534905,0.030659499,0.007010952,0.002411519,0.141248721,0.224513201,0.182295405,0.161556152,0.061269586,0.309216648,0.166437662,0.306995937,0.082046415,0.629208826,0.151373084,1,0.01994185
In2As2O5Cl2,4.62,1,In2As2O5Cl2,4,"[['In', '2'], ['As', '2'], ['O', '5'], ['Cl', '2']]",0.321428571,0.230556516,0.505747126,0.12962963,0.360003098,0.301479948,0.457741225,0.493502457,0.288864388,0.146821711,0.327014218,0.042253521,0.377204885,0.260437376,0.358490566,0.251798561,0.673879444,0.583384679,0.802030457,0.347305389,0.65,0.39184953,0.666666667,0.2,0.466666667,0.387452803,0.6,0.3,0.470588235,0.36320956,0.620689655,0.166666667,0.285714286,0.190082645,0.625,0,0.575757576,0.404958678,0.352941176,0.4,0.75520715,0.661060682,0.650380952,0.256929788,0.090778098,0.051031363,0.11780243,0.019270475,0.071000075,0.033960697,0.097117166,0,0.190432412,0.119398228,0.342675567,0.014673896,0.236301782,0.17443051,0.305028034,0.000145299,0.087028264,0.040830251,0.050925598,0.174002047,0.201329371,0.094052522,0.259486393,0,0.128092344,0.073760528,0.269768918,0.005107411,0.135923533,0.08365608,0.190605253,0
CdTlS2,1.5,1,CdTlS2,3,"[['Cd', 1], ['Tl', 1], ['S', '2']]",0.444805195,0.480988593,0.873563218,0.277777778,0.48624701,0.521318282,0.851923638,0.563111299,0.296582139,0.330608909,0.3507109,0.316901408,0.329715061,0.431908549,0.377358491,0.532374101,0.403400309,0.349635449,0.644670051,0.221556886,0.45,0.560344828,0.833333333,0.2,0.466666667,0.642971246,0.8,0.5,0.509803922,0.588988476,0.827586207,0.416666667,0.476190476,0.435606061,0.9375,0,0.272727273,0.295454545,0.294117647,0.2,0.347794693,0.419296685,0.351028571,0.300548755,0.087690408,0.084909787,0.067617538,0.136269787,0.177463034,0.151913586,0.139666394,0.158514286,0.187935419,0.19937214,0.236725845,0.146624171,0.412453525,0.466158518,0.509404956,0.229095144,0.039442167,0.026656573,0.035747216,0.067553736,0.063706207,0.048339576,0.052414718,0.030333467,0.128809336,0.105311515,0.19055358,0.016133207,0.146397116,0.12407658,0.22316711,0.001307411
Cd3As2,0.14,1,Cd3As2,2,"[['Cd', '3'], ['As', '2']]",0.237012987,0.504533489,0.494252874,0.592592593,0.296852069,0.53152889,0.44714787,0.748783938,0.154355017,0.425991009,0.3507109,0.507042254,0.151967436,0.487077535,0.371069182,0.633093525,0.204018547,0.356130622,0.375634518,0.347305389,0.25,0.379310345,0.666666667,0.2,0.244444444,0.720127796,0.6,0.7,0.31372549,0.63021767,0.586206897,0.625,0.285714286,0.557575758,0.625,0.5,0.151515152,0.2,0.235294118,0.2,0.185740615,0.45579584,0.300952381,0.692275222,0.050020585,0.105904866,0.067617538,0.217136958,0.06368127,0.10834534,0.139666394,0,0.087153179,0.18267471,0.105878847,0.18177021,0.260138816,0.572558793,0.362090794,0.669628929,0.01250865,0.011735902,0.009007731,0.170931423,0.197629823,0.228857762,0.259486393,0.118320611,0.057705118,0.109169642,0.111325546,0.055215253,0.150305585,0.270559388,0.22316711,0.333293775
InSb,0.25,1,InSb,2,"[['In', 1], ['Sb', 1]]",0.298701299,0.6121673,0.528735632,0.888888889,0.354589923,0.629125766,0.488280193,0.921635874,0.169790518,0.437270127,0.327014218,0.64084507,0.176390773,0.52584493,0.358490566,0.776978417,0.205564142,0.336927501,0.289340102,0.45508982,0.3,0.517241379,0.666666667,0.4,0.288888889,0.808306709,0.6,0.9,0.382352941,0.755868545,0.689655172,0.791666667,0.380952381,0.696969697,0.625,1,0.181818182,0.272727273,0.235294118,0.4,0.079022444,0.245941171,0.193047619,0.256929788,0.086043639,0.157736468,0.11780243,0.354783207,0.15089477,0.212121607,0.219764386,0.175420408,0.234641791,0.419994817,0.342675567,0.397890514,0.254491213,0.538553605,0.305028034,0.782484249,0.006227711,0.007493793,0.002269665,0.147389969,0.131592902,0.177806311,0.184074358,0.061269586,0.138730264,0.222226099,0.269768918,0.114830472,0.109109607,0.184757208,0.190605253,0.159950157
Eu2O3,4.5,1,Eu2O3,2,"[['Eu', '2'], ['O', '3']]",0.204545455,0.343082773,0.666666667,0.12962963,0.274142423,0.405140869,0.621227465,0.493502457,0.15876516,0.323007765,0.682464455,0.042253521,0.153324288,0.396421471,0.710691824,0.251798561,0.327202473,0.584760731,0.593908629,0.567065868,0.15,0.24137931,0.333333333,0.2,0.2,0.499680511,0.8,0.3,0.264705882,0.441741357,0.793103448,0.166666667,0.19047619,0.278787879,0.625,0,0.181818182,0.309090909,0.294117647,0.2,0.19740463,0.566923285,0.650380952,0.24102997,0.171469741,0.234499727,0.440042261,0.019270475,0.129627183,0.147029116,0.27023727,0.022187755,0.079445807,0.133417952,0.228184443,0.014673896,0.089542002,0.153897416,0.213646229,0.000145299,0.041411614,0.042344618,0.050925598,0.121801433,0.047736494,0.054605126,0.082981985,0,0.0814828,0.108192705,0.207567293,0.005107411,0.014386233,0.01948668,0.032447659,0.000117874
TlInS2,2.3,1,TlInS2,3,"[['Tl', 1], ['In', 1], ['S', '2']]",0.448051948,0.48435215,0.873563218,0.277777778,0.489069272,0.524132012,0.851923638,0.563111299,0.29106946,0.324478954,0.327014218,0.316901408,0.327001357,0.428926441,0.377358491,0.532374101,0.377125193,0.325631547,0.644670051,0.221556886,0.5,0.603448276,0.833333333,0.4,0.466666667,0.642971246,0.8,0.5,0.519607843,0.598804951,0.827586207,0.416666667,0.476190476,0.435606061,0.9375,0,0.303030303,0.318181818,0.294117647,0.4,0.269681133,0.339499916,0.351028571,0.256929788,0.10724578,0.100492072,0.11780243,0.136269787,0.158062598,0.138160544,0.135020333,0.158514286,0.270379718,0.26659564,0.342675567,0.146624171,0.388536496,0.441277635,0.509404956,0.229095144,0.039601852,0.02672124,0.035747216,0.067553736,0.046195015,0.036991257,0.034783442,0.030333467,0.192265643,0.153689295,0.269768918,0.016133207,0.131978524,0.111868953,0.190605253,0.001307411
Na2PtI6O18,2.4,1,Na2PtI6O18,4,"[['Na', '2'], ['Pt', 1], ['I', '6'], ['O', '18']]",0.461038961,0.219503212,0.83908046,0.12962963,0.500450176,0.299510845,0.810979241,0.493502457,0.435501654,0.11206466,0.488151659,0.042253521,0.483039349,0.237905898,0.509433962,0.251798561,0.77511592,0.755400759,1,0.374251497,0.7,0.376756066,1,0,0.511111111,0.330670927,0.7,0.3,0.549019608,0.32830654,0.793103448,0.166666667,0.466666667,0.192312009,0.90625,0,0.393939394,0.424242424,0.352941176,0,0.623570401,0.701960914,0.650380952,0.168988321,0.227048168,0.060658526,0.374009509,0.019270475,0.370215943,0.089456561,0.51495742,0.022187755,0.384454915,0.101011249,0.661433393,0.014673896,0.533049383,0.16568928,0.94574064,0.000145299,0.127109171,0.057850479,0.0729839,0.071647902,0.17604913,0.037920671,0.182445381,0,0.301522972,0.046017566,0.606399187,0.005107411,0.073603494,0.009493225,0.165020936,0.000117874
K6Nb1.07Ta2.93S22,1.88,1,K6Nb1.07Ta2.93S22,4,"[['K', '6'], ['Nb', '1.07'], ['Ta', '2.93'], ['S', '22']]",0.457792208,0.243756946,0.781609195,0.277777778,0.481742505,0.305381521,0.748782996,0.563111299,0.653803749,0.367673682,0.739336493,0.316901408,0.666214383,0.470970427,0.742138365,0.532374101,0.44049459,0.232325202,0.583756345,0.221556886,0.75,0.67887931,0.833333333,0,0.6,0.459689996,0.8,0.5,0.617647059,0.438771874,0.793103448,0.416666667,0.352380952,0.089702178,0.71875,0,0.242424242,0.320823864,0.294117647,0,0.445449267,0.412671348,0.351028571,0.060644435,0.490119391,0.237335293,0.70945589,0.136269787,0.787777065,0.230047052,0.828747633,0.137510204,0.767557441,0.267650967,0.968378642,0.146624171,0.499593382,0.241429388,0.676704648,0.101840234,0.082184489,0.044422966,0.039435421,0.078812692,0.401104931,0.085948863,0.338827137,0.030333467,0.759528108,0.169011122,0.918740477,0.016133207,0.217460178,0.090289792,0.232470498,0.001307411
OsSbTe,0.05,1,OsSbTe,3,"[['Os', 1], ['Sb', 1], ['Te', 1]]",0.555194805,0.742224822,0.816091954,0.925925926,0.592626144,0.761180543,0.789634091,0.95169922,0.337375965,0.449530037,0.464454976,0.570422535,0.366350068,0.524850895,0.371069182,0.769784173,0.329211747,0.340692819,0.375634518,0.377245509,0.75,0.804597701,0.833333333,0.8,0.555555556,0.881789137,0.8,0.9,0.647058824,0.847488974,0.793103448,0.875,0.628571429,0.766666667,0.8125,1,0.333333333,0.303030303,0.294117647,0.2,0.404731248,0.45023878,0.359428571,0.644435064,0.115891313,0.129305631,0.096671949,0.285960083,0.499675637,0.467447567,0.762005774,0.157877551,0.480417549,0.54081414,0.965470931,0.091872153,0.633335438,0.880498159,0.998191355,0.545534905,0.011444084,0.003987443,0.000425562,0.068577277,0.410477118,0.357194994,0.29091606,0.34712736,0.369149017,0.381014593,0.784154393,0.082046415,0.117348802,0.132438805,0.202234488,0.01994185
AlSb,1.62,1,AlSb,2,"[['Al', 1], ['Sb', 1]]",0.181818182,0.369991226,0.528735632,0.222222222,0.25159966,0.423767971,0.488280193,0.541082778,0.127894157,0.34409481,0.218009479,0.535211268,0.147896879,0.463220676,0.339622642,0.647482014,0.164605873,0.262091805,0.269035533,0.320359281,0.3,0.517241379,0.666666667,0.4,0.2,0.587859425,0.6,0.5,0.264705882,0.520273154,0.689655172,0.291666667,0.19047619,0.348484848,0.625,0,0.181818182,0.272727273,0.235294118,0.4,0.083895074,0.255896424,0.193047619,0.284086112,0.076780568,0.142974303,0.094030639,0.354783207,0.210310964,0.296362334,0.227429352,0.368934694,0.258495591,0.458894679,0.411188509,0.397890514,0.167662164,0.357897105,0.278079219,0.315890719,0.041943897,0.036421185,0.049861692,0.147389969,0.177282312,0.237025355,0.184074358,0.210124548,0.173374692,0.275050494,0.356272219,0.114830472,0.266684222,0.451581062,0.54645984,0.159950157
SnS,1.42,1,SnS,2,"[['Sn', 1], ['S', 1]]",0.188311688,0.383445452,0.517241379,0.277777778,0.25398863,0.428531465,0.474870158,0.563111299,0.106945976,0.297507152,0.274881517,0.316901408,0.126187246,0.415506958,0.339622642,0.532374101,0.128284389,0.195728076,0.233502538,0.221556886,0.4,0.689655172,0.833333333,0.6,0.2,0.587859425,0.6,0.5,0.284313725,0.559539052,0.655172414,0.416666667,0.19047619,0.348484848,0.625,0,0.242424242,0.363636364,0.294117647,0.6,0.158847737,0.409031942,0.351028571,0.468411425,0.046521202,0.09475123,0.083465399,0.136269787,0.098974306,0.138508384,0.116606823,0.158514286,0.194009596,0.353733393,0.44317333,0.146624171,0.164906589,0.352163856,0.305028034,0.229095144,0.031883749,0.028273231,0.035747216,0.157625384,0.044098605,0.064403041,0.062859333,0.030333467,0.144354326,0.230801437,0.356437278,0.016133207,0.069154658,0.117100793,0.155717548,0.001307411
Ag2O,1.59,1,Ag2O,2,"[['Ag', '2'], ['O', 1]]",0.152597403,0.396899678,0.482758621,0.12962963,0.222437914,0.437215882,0.427154727,0.493502457,0.085997795,0.346546792,0.369668246,0.042253521,0.081411126,0.395626243,0.377358491,0.251798561,0.375579598,0.634387622,0.593908629,0.754491018,0.05,0.057471264,0.166666667,0,0.133333333,0.514376997,0.5,0.3,0.205882353,0.494095888,0.586206897,0.166666667,0.19047619,0.464646465,0.625,0,0.151515152,0.151515152,0.294117647,0,0.243858719,0.482494487,0.650380952,0.499929647,0.032523672,0.097594314,0.083465399,0.019270475,0.145677836,0.270542492,0.30543972,0.022187755,0.125255226,0.322328169,0.359758369,0.014673896,0.188867794,0.540008105,0.450623983,0.000145299,0.044232714,0.028445674,0.050925598,0.17604913,0.060129977,0.114724577,0.102242238,0,0.121303806,0.260468801,0.306995937,0.005107411,0.442824401,0.999792563,1,0.000117874
InN,2.1,1,InN,2,"[['In', 1], ['N', 1]]",0.155844156,0.31617432,0.505747126,0.111111111,0.228250275,0.377210382,0.457741225,0.484869221,0.084895259,0.248467511,0.327014218,0.098591549,0.08412483,0.32306163,0.358490566,0.287769784,0.108191654,0.159016225,0.289340102,0.077844311,0.2,0.344827586,0.333333333,0.4,0.155555556,0.477635783,0.6,0.3,0.205882353,0.402475459,0.620689655,0.125,0.19047619,0.348484848,0.625,0,0.181818182,0.272727273,0.235294118,0.4,0.222575677,0.539234271,0.734571429,0.256929788,0.047344586,0.096063423,0.11780243,0.031314522,0.051732923,0.071529196,0.097117166,0.025787755,0.1184953,0.230587576,0.342675567,0.011974915,0.127839297,0.275041657,0.305028034,0.000120187,0.050566881,0.043405145,0.059507767,0.174002047,0.01141927,0.02204664,0.025201227,0.002812374,0.106079174,0.172441064,0.269768918,0.004037615,0.084418622,0.142947532,0.190605253,0.000112873
YVTeO10,2.2,1,YVTeO10,4,"[['Y', 1], ['V', 1], ['Te', 1], ['O', '10']]",0.37012987,0.140234437,0.540229885,0.12962963,0.409548124,0.22976827,0.513995596,0.493502457,0.461962514,0.100594134,0.592417062,0.042253521,0.537313433,0.211347301,0.660377358,0.251798561,0.561051005,0.611506075,0.593908629,0.353293413,0.7,0.278514589,0.833333333,0.2,0.555555556,0.282624724,0.6,0.3,0.539215686,0.248432319,0.724137931,0.166666667,0.323809524,0.091142191,0.625,0,0.424242424,0.398601399,0.294117647,0.2,0.633517635,0.751076022,0.650380952,0.338117349,0.261012762,0.061593136,0.350237718,0.019270475,0.516597941,0.115759366,0.552467379,0.022187755,0.45929637,0.117658049,0.586014637,0.014673896,0.278660887,0.080459705,0.251672997,0.000145299,0.084313621,0.056029996,0.050925598,0.141248721,0.309171178,0.059306748,0.212341893,0,0.440039663,0.105082489,0.559421026,0.005107411,0.052492512,0.01365344,0.071987057,0.000117874
PtSb2,0.11,1,PtSb2,2,"[['Pt', 1], ['Sb', '2']]",0.392857143,0.746709564,0.83908046,0.925925926,0.448698957,0.759632816,0.810979241,0.95169922,0.192943771,0.452799346,0.426540284,0.64084507,0.168249661,0.510934394,0.339622642,0.755395683,0.178516229,0.30021565,0.269035533,0.374251497,0.45,0.747126437,0.833333333,0.8,0.311111111,0.845047923,0.7,0.9,0.431372549,0.834400341,0.793103448,0.875,0.466666667,0.801515152,0.90625,1,0.121212121,0.242424242,0.235294118,0,0.157716681,0.400479709,0.227619048,0.644435064,0.064429807,0.123838163,0.064976228,0.346180317,0.341410164,0.418626274,0.51495742,0.368934694,0.345622068,0.525860222,0.661433393,0.397890514,0.523036619,0.903210344,0.94574064,0.782484249,0.000904881,0.004246108,0.000425562,0.071647902,0.232775524,0.309404187,0.184074358,0.390920048,0.273550126,0.31846993,0.606399187,0.114830472,0.097780713,0.138251961,0.165020936,0.159950157
Bi1.4Te3Sb0.6,0.17,1,Bi1.4Te3Sb0.6,3,"[['Bi', '1.4'], ['Te', '3'], ['Sb', '0.6']]",0.577922078,0.754243931,0.896551724,0.925925926,0.614611383,0.775939329,0.872155627,0.95169922,0.29106946,0.365181855,0.265402844,0.570422535,0.371777476,0.528349901,0.396226415,0.769784173,0.391035549,0.439494763,0.406091371,0.45508982,0.7,0.793103448,0.833333333,0.8,0.555555556,0.870031949,0.8,0.9,0.676470588,0.884660691,0.896551724,0.875,0.666666667,0.794545455,0.9375,1,0.424242424,0.418181818,0.294117647,0.8,0.37021889,0.458465705,0.359428571,0.460953989,0.108686702,0.113778021,0.078182779,0.285960083,0.21005973,0.153991259,0.219764386,0.157877551,0.232515197,0.19186911,0.264530832,0.091872153,0.390564326,0.488088393,0.418972689,0.545534905,0.011018257,0.004010435,0.000425562,0.060388946,0.286480621,0.247673595,0.184074358,0.21434311,0.130151789,0.12252422,0.187404774,0.082046415,0.035986746,0.024035074,0.055706128,0.01994185
KPbPO4,4.44,1,KPbPO4,4,"[['K', 1], ['Pb', 1], ['P', 1], ['O', '4']]",0.376623377,0.223916768,0.885057471,0.12962963,0.421067824,0.303987647,0.864320109,0.493502457,0.44983462,0.209936365,0.739336493,0.042253521,0.50339213,0.301334848,0.742138365,0.251798561,0.636785162,0.586245342,0.593908629,0.22754491,0.5,0.270935961,0.666666667,0,0.488888889,0.351665906,0.8,0.3,0.490196078,0.323943662,0.862068966,0.166666667,0.285714286,0.149350649,0.9375,0,0.424242424,0.350649351,0.294117647,0,0.60110076,0.618743656,0.650380952,0.060644435,0.353231783,0.158954932,0.70945589,0.019270475,0.148003812,0.059435082,0.141319419,0.022187755,0.199844223,0.098082681,0.284703077,0.014673896,0.255918863,0.146152447,0.488605534,0.000145299,0.119710438,0.054164386,0.050925598,0.065506653,0.037932693,0.012650597,0.03957455,0,0.127319417,0.057877997,0.208633824,0.005107411,0.139247122,0.067335937,0.232470498,0.000117874
SiSe2,1.74,1,SiSe2,2,"[['Si', 1], ['Se', '2']]",0.12987013,0.307204836,0.333333333,0.240740741,0.202713617,0.365938924,0.299927955,0.545865709,0.087100331,0.246832857,0.113744076,0.429577465,0.108548168,0.385685885,0.220125786,0.575539568,0.103554869,0.159957555,0.137055838,0.239520958,0.4,0.747126437,0.833333333,0.6,0.155555556,0.514376997,0.4,0.5,0.225490196,0.494095888,0.517241379,0.333333333,0.095238095,0.232323232,0.3125,0,0.242424242,0.393939394,0.294117647,0.6,0.163674922,0.445458883,0.295142857,0.577880962,0.037669823,0.074630946,0.043845747,0.191328286,0.250129745,0.286204192,0.421829244,0.2,0.212812717,0.315780336,0.453532051,0.197117275,0.118910844,0.284723915,0.178422861,0.272762192,0.037685634,0.027382273,0.036101851,0.264073695,0.331861736,0.318035302,0.474894596,0.104057855,0.18608731,0.208370647,0.440071102,0.044085929,0.15496073,0.175502664,0.348762847,0.003407536
Na2Zn3Se4O12,4.9,1,Na2Zn3Se4O12,4,"[['Na', '2'], ['Zn', '3'], ['Se', '4'], ['O', '12']]",0.243506494,0.159849023,0.333333333,0.12962963,0.29216969,0.243016723,0.299927955,0.493502457,0.38368247,0.147585965,0.488151659,0.042253521,0.438263229,0.247372905,0.509433962,0.251798561,0.530139104,0.516586959,0.593908629,0.299401198,0.45,0.287356322,0.833333333,0,0.4,0.304427202,0.4,0.3,0.362745098,0.269719326,0.517241379,0.166666667,0.19047619,0.116161616,0.3125,0,0.393939394,0.359307359,0.294117647,0,0.650862178,0.669657173,0.650380952,0.168988321,0.212638946,0.073693666,0.374009509,0.019270475,0.183265001,0.075615037,0.165157645,0.022187755,0.179641257,0.086737993,0.132048246,0.014673896,0.227737704,0.14257738,0.29688913,0.000145299,0.134933731,0.05395499,0.0729839,0.264073695,0.085163582,0.032272305,0.06448831,0,0.115461087,0.047417457,0.135347892,0.005107411,0.12414169,0.060106065,0.278987438,0.000117874
PbTe0.05Se0.95,0.26,1,PbTe0.05Se0.95,3,"[['Pb', 1], ['Te', '0.05'], ['Se', '0.95']]",0.519480519,0.725855513,0.885057471,0.611111111,0.562343395,0.750739231,0.864320109,0.766280424,0.270121279,0.361258684,0.317535545,0.429577465,0.343283582,0.483797217,0.383647799,0.64028777,0.375579598,0.380275724,0.487309645,0.299401198,0.7,0.689655172,0.833333333,0.6,0.511111111,0.813817891,0.8,0.7,0.617647059,0.801024328,0.862068966,0.666666667,0.571428571,0.705681818,0.9375,0.5,0.424242424,0.363636364,0.294117647,0.6,0.400363554,0.384063858,0.359428571,0.478120163,0.08913133,0.102870421,0.078182779,0.191328286,0.167853638,0.170618325,0.141319419,0.157877551,0.18297269,0.285957401,0.284703077,0.091872153,0.377980406,0.612092189,0.488605534,0.524462335,0.017352425,0.007580015,0.008511242,0.065506653,0.159647803,0.079147864,0.161556152,0.09140217,0.117805294,0.15395679,0.208633824,0.044085929,0.039611992,0.062060089,0.081290445,0.003407536
In4Te3,0.55,1,In4Te3,2,"[['In', '4'], ['Te', '3']]",0.301948052,0.616011365,0.540229885,0.888888889,0.361440974,0.638517336,0.513995596,0.921635874,0.15876516,0.42430965,0.327014218,0.570422535,0.175033921,0.524566884,0.358490566,0.769784173,0.238021638,0.389373001,0.375634518,0.479041916,0.35,0.566502463,0.833333333,0.4,0.288888889,0.808306709,0.6,0.9,0.392156863,0.767087373,0.724137931,0.791666667,0.380952381,0.696969697,0.625,1,0.212121212,0.298701299,0.294117647,0.4,0.123128582,0.302887281,0.359428571,0.256929788,0.077809798,0.151175506,0.11780243,0.285960083,0.089903941,0.126675149,0.097117166,0.157877551,0.142541448,0.297595719,0.342675567,0.091872153,0.216132999,0.473503926,0.305028034,0.545534905,0.005908341,0.007432206,0.002269665,0.141248721,0.117103008,0.142779508,0.161556152,0.061269586,0.129068674,0.22708531,0.269768918,0.082046415,0.087481719,0.167816011,0.190605253,0.01994185
CsBiS2,1.4,1,CsBiS2,3,"[['Cs', 1], ['Bi', 1], ['S', '2']]",0.474025974,0.511260603,0.896551724,0.277777778,0.515667368,0.550649696,0.872155627,0.563111299,0.433296582,0.482631794,1,0.316901408,0.469470828,0.585487078,1,0.532374101,0.438948995,0.382111316,0.730964467,0.221556886,0.5,0.603448276,0.833333333,0,0.488888889,0.670527157,0.8,0.5,0.588235294,0.667520273,0.896551724,0.416666667,0.476190476,0.435606061,0.9375,0,0.303030303,0.318181818,0.294117647,0,0.252361837,0.32180742,0.351028571,0,0.455125566,0.377692728,1,0.136269787,0.139250734,0.124824742,0.126817293,0.123265306,0.188169528,0.199563028,0.253445183,0.146624171,0.248265584,0.295353822,0.418972689,0.219905162,0.039708309,0.026764351,0.035747216,0.060388946,0.079737579,0.058728882,0.098217708,0.030333467,0.109201393,0.090362824,0.187404774,0.016133207,0.045466971,0.038623189,0.083616292,0.001307411
Ba4CuInSe6,2.23,1,Ba4CuInSe6,4,"[['Ba', '4'], ['Cu', 1], ['In', 1], ['Se', '6']]",0.519480519,0.50677586,0.586206897,0.518518519,0.539937655,0.544173012,0.556804724,0.699498983,0.575523705,0.51777687,0.786729858,0.429577465,0.621438263,0.609343936,0.817610063,0.64028777,0.486862442,0.363755391,0.568527919,0.299401198,0.55,0.531609195,0.833333333,0.2,0.666666667,0.744009585,0.8,0.6,0.68627451,0.700241855,0.793103448,0.5,0.571428571,0.493686869,0.625,0.5,0.303030303,0.272727273,0.294117647,0,0.421242647,0.298270726,0.295142857,0.178978472,0.39069576,0.338709677,0.638140518,0.191328286,0.37996688,0.232151927,0.337160212,0.175420408,0.489137157,0.315071815,0.435722321,0.197117275,0.4498073,0.365425774,0.379182492,0.420270183,0.043647203,0.012688653,0.012979644,0.145342886,0.172102946,0.100512539,0.118627827,0.061269586,0.341623656,0.15627637,0.36515998,0.044085929,0.515425535,0.161830121,0.930224591,0.003407536
SrSnO3,4.1,1,SrSnO3,3,"[['Sr', 1], ['Sn', 1], ['O', '3']]",0.285714286,0.240830652,0.517241379,0.12962963,0.337886631,0.31386706,0.474870158,0.493502457,0.305402426,0.226890069,0.625592417,0.042253521,0.337856174,0.322465209,0.691823899,0.251798561,0.460587326,0.57527213,0.593908629,0.413173653,0.3,0.24137931,0.5,0.2,0.377777778,0.411501597,0.6,0.3,0.401960784,0.36320956,0.655172414,0.166666667,0.285714286,0.209090909,0.625,0,0.303030303,0.345454545,0.294117647,0.2,0.376934535,0.600781462,0.650380952,0.244547629,0.237340469,0.153799891,0.471737982,0.019270475,0.182482992,0.103490303,0.255491975,0.022187755,0.258950395,0.179808874,0.44317333,0.014673896,0.177117748,0.143834657,0.305028034,0.000145299,0.059243094,0.044983003,0.050925598,0.157625384,0.084115377,0.043736314,0.070525105,0,0.21077013,0.132498285,0.356437278,0.005107411,0.105017384,0.071107504,0.155717548,0.000117874
VO2,0.5,1,VO2,2,"[['V', 1], ['O', '2']]",0.074675325,0.114360924,0.206896552,0.12962963,0.155690054,0.205297645,0.176616807,0.493502457,0.09261301,0.165100123,0.398104265,0.042253521,0.092265943,0.254473161,0.427672956,0.251798561,0.27202473,0.534606695,0.593908629,0.353293413,0.25,0.344827586,0.666666667,0.2,0.111111111,0.293929712,0.4,0.3,0.147058824,0.232323232,0.379310345,0.166666667,0.028571429,0.034848485,0.09375,0,0.181818182,0.333333333,0.294117647,0.2,0.223408821,0.655086593,0.650380952,0.385957507,0.065459037,0.082285402,0.167987322,0.019270475,0.258310766,0.245368717,0.552467379,0.022187755,0.20402971,0.246536244,0.586014637,0.014673896,0.105480371,0.148363062,0.251672997,0.000145299,0.057752701,0.055404336,0.050925598,0.436028659,0.130976311,0.116855717,0.212341893,0,0.222399634,0.233605609,0.559421026,0.005107411,0.031894523,0.036002223,0.071987057,0.000117874
Tl3VS4,1.97,1,Tl3VS4,3,"[['Tl', '3'], ['V', 1], ['S', '4']]",0.363636364,0.49444282,0.873563218,0.277777778,0.414172613,0.539146834,0.851923638,0.563111299,0.307607497,0.333673886,0.398104265,0.316901408,0.34192673,0.439363817,0.427672956,0.532374101,0.344667697,0.360225406,0.644670051,0.221556886,0.6,0.646551724,0.833333333,0.4,0.422222222,0.642971246,0.8,0.5,0.450980392,0.593896714,0.827586207,0.416666667,0.314285714,0.405113636,0.9375,0,0.272727273,0.306818182,0.294117647,0.2,0.292832437,0.355322579,0.351028571,0.300548755,0.126801153,0.100492072,0.167987322,0.136269787,0.365680761,0.217876847,0.552467379,0.158514286,0.355101834,0.286097162,0.586014637,0.146624171,0.366173505,0.474202416,0.509404956,0.229095144,0.053228296,0.028359453,0.035747216,0.067553736,0.166615284,0.078009036,0.212341893,0.030333467,0.30827083,0.185815801,0.559421026,0.016133207,0.079453652,0.073938111,0.106874762,0.001307411
