Compound,Number of Elements,Elements+Coeff,At no._sum,At no._wt_avg,At no._maximum,At no._minimum,At wt._sum,At wt._wt_avg,At wt._maximum,At wt._minimum,At Rad_sum,At Rad_wt_avg,At Rad_maximum,At Rad_minimum,Cov Rad_sum,Cov Rad_wt_avg,Cov Rad_maximum,Cov Rad_minimum,Ion Rad_sum,Ion Rad_wt_avg,Ion Rad_maximum,Ion Rad_minimum,No of val e-_sum,No of val e-_wt_avg,No of val e-_maximum,No of val e-_minimum,s e-_sum,s e-_wt_avg,s e-_maximum,s e-_minimum,p e-_sum,p e-_wt_avg,p e-_maximum,p e-_minimum,d e-_sum,d e-_wt_avg,d e-_maximum,d e-_minimum,outer shell e-_sum,outer shell e-_wt_avg,outer shell e-_maximum,outer shell e-_minimum,first IE_sum,first IE_wt_avg,first IE_maximum,first IE_minimum,polarizability_sum,polarizability_wt_avg,polarizability_maximum,polarizability_minimum,MP_sum,MP_wt_avg,MP_maximum,MP_minimum,BP_sum,BP_wt_avg,BP_maximum,BP_minimum,density_sum,density_wt_avg,density_maximum,density_minimum,specific heat_sum,specific heat_wt_avg,specific heat_maximum,specific heat_minimum,heat fusion_sum,heat fusion_wt_avg,heat fusion_maximum,heat fusion_minimum,heat vap_sum,heat vap_wt_avg,heat vap_maximum,heat vap_minimum,ther cond_sum,ther cond_wt_avg,ther cond_maximum,ther cond_minimum,Eg (eV)
K4Nb2S11,3,"[['K', '4'], ['Nb', '2'], ['S', '11']]",76,19.64705882,41,16,164.07068,40.87835059,92.90638,32.066,528,136.7647059,243,87,472,135,203,105,2.44,0.645294118,1.38,0.37,12,4.705882353,6,1,22,6.588235294,9,6,40,11.41176471,18,10,14,1.647058824,14,0,8,4.235294118,6,1,2082.38,823.4458824,999.58,418.8,414.6,93.15294118,289,19.6,3475.26,654.0917647,2750,336.9,6892.524,1313.109647,5136,717.824,11.397,2.479235294,8.57,0.87,1727,665.4705882,757,265,30.83,4.813529412,26.8,1.73,776.7,105.6117647,690,9.8,154.205,30.015,100,0.205,2.42
SnGe,2,"[['Sn', 1], ['Ge', 1]]",82,41,50,32,191.32,95.66,118.71,72.61,270,135,145,125,259,129.5,139,120,1.22,0.61,0.69,0.53,8,4,4,4,18,9,10,8,34,17,20,14,30,15,20,10,8,4,4,4,1470.7,735.35,762.1,708.6,93,46.5,52,41,1718.12,859.06,1213,505.12,6021,3010.5,3125,2896,12.603,6.3015,7.28,5.323,538,269,321,217,39.03,19.515,31.83,7.2,627.13,313.565,334,293.13,127,63.5,67,60,0.4
Mg2Sn,2,"[['Mg', '2'], ['Sn', 1]]",62,24.66666667,50,12,143.015,55.77333333,118.71,24.305,290,145,145,145,280,140.3333333,141,139,1.41,0.71,0.72,0.69,6,2.666666667,4,2,16,7.333333333,10,6,26,10.66666667,20,6,20,6.666666667,20,0,6,2.666666667,4,2,1446.3,728,737.7,708.6,123,64.66666667,71,52,1428.12,783.7066667,923,505.12,4274.15,1884.1,2896,1378.15,9.018,3.585333333,7.28,1.738,1237,752.3333333,1020,217,16.16,8.373333333,8.96,7.2,421.13,183.0433333,293.13,128,227,129,160,67,0.3
Zn0.43Cd0.57Se,3,"[['Zn', '0.43'], ['Cd', '0.57'], ['Se', 1]]",112,37.13,48,30,256.761,85.575985,112.411,65.39,406,127.915,161,103,386,127.27,144,120,2.21,0.68555,0.97,0.5,10,4,6,2,26,8.57,10,8,46,15.71,18,12,40,12.85,20,10,10,4,6,2,2715,912.6205,940.9,867.7,111,34.495,46,26,1777.06,563.3161,692.8,490,3182,1029.96,1184,958,20.122,6.20097,8.542,4.48,939,309.47,388,230,18.88,6.0259,7.37,5.4,245.08,67.1078,119,26,216.52,53.42,120,0.52,2.8
LaH2NO5,4,"[['La', 1], ['H', '2'], ['N', 1], ['O', '5']]",73,11.77777778,57,1,169.91958,26.10279111,138.9055,1.00794,352,66.33333333,195,48,375,74.44444444,207,31,2.603,0.912777778,1.4,0.012,9,2,3,1,21,4.222222222,12,1,31,5.222222222,24,0,21,2.333333333,21,0,14,4.333333333,6,1,4566.3,1237.1,1402.3,538.1,227.9,28.48888889,210,4.5,1324.5,172.8777778,1193,13.96,3930.928,479.1188889,3743,20.39,6.17653737,0.686883471,6.174,8.99E-05,16454,3825.555556,14300,195,7.418,0.984,6.28,0.22,406.65,46.74888889,400,0.45,13.23291,1.502192222,13,0.02583,4.76
TlS2,2,"[['Tl', 1], ['S', '2']]",97,37.66666667,81,16,236.4493,89.5051,204.3833,32.066,243,110,156,87,250,118.3333333,145,105,1.87,0.746666667,1.5,0.37,9,5,6,3,18,8,12,6,35,15,25,10,30,10,30,0,9,5,6,3,1588.88,862.82,999.58,589.3,65.6,28.4,46,19.6,964.66,451.0066667,576.3,388.36,2477.824,1065.216,1760,717.824,13.757,5.238,11.8,1.957,834,513,705,129,6,2.576666667,4.27,1.73,172.28,60.69333333,162.48,9.8,46.205,15.47,46,0.205,1.8
Bi2Te2.4Se0.6,3,"[['Bi', '2'], ['Te', '2.4'], ['Se', '0.6']]",169,62.24,83,34,415.54037,154.315348,208.98037,78.96,369,128.6,143,103,406,139.84,148,120,2.5,0.9376,1.03,0.5,17,5.6,6,5,30,10.56,12,8,65,23.28,27,16,60,22.8,30,10,17,5.6,6,5,2652.6,878.26,1008.4,703.3,113,40.88,50,26,1421.39,462.3,544.59,386.8,3267.39,1075.3072,1852,457.39,18.94,6.6944,9.8,4.48,644,183.8,321,122,33.79,13.404,17.5,5.4,234,90.16,160,26,11.52,4.7024,8,0.52,0.27
Sr3BiP3O12,4,"[['Sr', '3'], ['Bi', 1], ['P', '3'], ['O', '12']]",144,17.78947368,83,8,343.573532,39.82918189,208.98037,15.9994,508,87.89473684,219,48,516,97.15789474,195,66,3.93,1.175263158,1.4,0.38,14,2.631578947,5,2,32,5.684210526,12,4,58,8.210526316,27,4,40,3.157894737,30,0,18,5.157894737,6,2,3578.4,1113.352632,1313.9,549.5,279.6,41.72631579,199,6,1958.2,277.6136842,1042,54.36,4149.338,502.9318947,1852,90.188,14.229331,1.215788,9.8,0.001331,2110,755.6315789,919,122,19.75,2.076315789,10.89,0.22,312.81,34.16421053,160,3.41,43.26258,6.001418947,35,0.02658,4
ZrSe2,2,"[['Zr', 1], ['Se', '2']]",74,36,40,34,170.184,83.048,91.224,78.96,309,137.3333333,206,103,295,138.3333333,175,120,1.22,0.573333333,0.72,0.5,10,5.333333333,6,4,18,8.666666667,10,8,34,16.66666667,18,16,22,10.66666667,12,10,8,4.666666667,6,2,1600.9,847.2666667,940.9,660,147,57.66666667,121,26,2615,1035,2125,490,5735,2231,4777,958,11,5.16,6.52,4.48,599,306.6666667,321,278,26.4,10.6,21,5.4,606,210.6666667,580,26,23.52,8.013333333,23,0.52,2
BaIn2P4O14,4,"[['Ba', 1], ['In', '2'], ['P', '4'], ['O', '14']]",128,15.52380952,56,8,299.118162,34.04045943,137.327,15.9994,555,77.57142857,253,48,530,88.14285714,215,66,3.93,1.146190476,1.4,0.38,12,2.666666667,5,2,32,5.333333333,12,4,56,7.333333333,24,4,40,2.857142857,20,0,16,5.333333333,6,2,3386.8,1145.757143,1313.9,502.9,357.6,27.35238095,262,6,1799.69,185.1380952,998.3,54.36,5108.538,489.6872381,2343,90.188,12.699331,1.213363524,7.28,0.001331,2126,791.0952381,919,205,12.13,0.960952381,8,0.22,380.68,32.71809524,224.87,3.41,100.26258,8.729339048,82,0.02658,3.97
La2NiVO6,4,"[['La', '2'], ['Ni', 1], ['V', 1], ['O', '6']]",116,21.3,57,8,264.5398,48.34423,138.9055,15.9994,563,99.8,195,48,550,108.7,207,66,3.741,1.1802,1.4,0.59,12,2.5,5,2,32,6.4,12,4,52,9.6,24,4,32,5.3,21,0,12,4.4,6,2,3238.7,1034.63,1313.9,538.1,346,58.6,210,6,5165.36,663.016,2190,54.36,10708.188,1490.2128,3743,90.188,21.175331,2.7355986,8.9,0.001331,2048,683.8,919,195,46.5,5.388,22.8,0.22,1234.41,165.146,453,3.41,135.02658,14.815948,91,0.02658,0.45
TiO2,2,"[['Ti', 1], ['O', '2']]",30,12.66666667,22,8,63.8794,26.62626667,47.88,15.9994,224,90.66666667,176,48,226,97.33333333,160,66,2.005,1.135,1.4,0.605,6,2.666666667,4,2,12,5.333333333,8,4,16,6.666666667,12,4,2,0.666666667,2,0,8,4.666666667,6,2,1971.9,1095.266667,1313.9,658,105,37,99,6,1997.36,683.9066667,1943,54.36,3652.188,1247.458667,3562,90.188,4.508331,1.503220667,4.507,0.001331,1439,786,919,520,18.92,6.38,18.7,0.22,428.41,143.94,425,3.41,22.02658,7.351053333,22,0.02658,3.3
Sn0.5GaZn5.5O8,4,"[['Sn', '0.5'], ['Ga', 1], ['Zn', '5.5'], ['O', '8']]",119,19,50,8,269.8224,41.11454667,118.71,15.9994,471,91.56666667,145,48,449,92.7,139,66,3.45,1.082333333,1.4,0.62,11,2.133333333,4,2,30,5.933333333,10,4,49,8.066666667,20,4,40,5,20,0,15,4.266666667,6,2,3507.7,1095.3,1313.9,578.8,151,22.83333333,54,6,1555.21,320.0513333,692.8,54.36,6423.188,728.9669333,2896,90.188,20.284331,3.2402432,7.28,0.001331,1895,664.3666667,919,217,20.4,3.433666667,7.37,0.22,671.54,72.28966667,293.13,3.41,216.02658,48.18084267,120,0.02658,2.99
CdS,2,"[['Cd', 1], ['S', 1]]",64,32,48,16,144.477,72.2385,112.411,32.066,248,124,161,87,249,124.5,144,105,1.34,0.67,0.97,0.37,8,4,6,2,16,8,10,6,28,14,18,10,20,10,20,0,8,4,6,2,1867.28,933.64,999.58,867.7,65.6,32.8,46,19.6,982.62,491.31,594.26,388.36,1757.824,878.912,1040,717.824,10.499,5.2495,8.542,1.957,935,467.5,705,230,7.84,3.92,6.11,1.73,109.88,54.94,100.08,9.8,96.205,48.1025,96,0.205,2.58
K2PbGe2S6,4,"[['K', '2'], ['Pb', 1], ['Ge', '2'], ['S', '6']]",149,25.45454545,82,16,350.9743,56.63750909,207.2,32.066,609,128.3636364,243,87,574,129.2727273,203,105,3.47,0.657272727,1.38,0.37,15,4.545454545,6,1,33,7.090909091,12,6,62,12.54545455,26,10,40,4.545454545,30,0,15,4.545454545,6,1,2895.98,824.98,999.58,418.8,399.6,75.23636364,289,19.6,2538.91,548.2372727,1213,336.9,6905.524,1332.576727,3125,717.824,19.49,3.224363636,11.34,0.87,1910,592.0909091,757,127,40.63,7.582727273,31.83,1.73,597.42,96.12,334,9.8,195.205,32.38454545,100,0.205,2.85
Rb4GeP4Se12,4,"[['Rb', '4'], ['Ge', 1], ['P', '4'], ['Se', '12']]",118,30.85714286,37,15,268.011562,70.75696419,85.4678,30.973762,591,133.952381,265,98,567,136.5714286,220,107,2.93,0.672857143,1.52,0.38,16,4.761904762,6,1,31,7.80952381,9,6,57,14.95238095,18,9,30,8.095238095,10,0,16,4.761904762,6,1,3117.7,843.4142857,1011.7,403,409.6,82.06666667,318,24.6,2332.25,457.6190476,1213,312,5603.15,985.7904762,3125,553.15,13.161,3.453095238,5.323,1.53,1775,414.5238095,769,321,40.06,5.14047619,31.83,0.64,443.4,46.64761905,334,12.4,118.756,14.24685714,60,0.236,2
CsTa3Se2O12,4,"[['Cs', 1], ['Ta', '3'], ['Se', '2'], ['O', '12']]",170,24.33333333,73,8,408.81273,56.98121833,180.9479,15.9994,649,93.33333333,298,48,600,99.22222222,244,66,4.21,1.188333333,1.67,0.5,14,2.888888889,6,1,35,6.166666667,12,4,68,9.777777778,24,4,53,6.055555556,23,0,15,5.055555556,6,1,3391.5,1128.183333,1313.9,375.7,519,43.72222222,399,6,4104.36,650.4622222,3258,54.36,7785.888,1183.775333,5786,90.188,21.859831,3.186359556,15.5,0.001331,1622,685.1111111,919,140,43.71,6.862777778,36,0.22,829.41,131.3844444,736,3.41,93.54658,11.57549778,57,0.02658,3.88
Hg0.01Zn0.99Te,3,"[['Hg', '0.01'], ['Zn', '0.99'], ['Te', 1]]",162,41.25,80,30,393.58,97.171,200.59,65.39,436,132.645,171,123,392,130.05,138,122,2.73,0.8564,1.02,0.74,10,4,6,2,30,9.02,12,8,58,17.06,24,12,60,15.1,30,10,10,4,6,2,2921.8,957.903,1008.4,906.4,110,37.975,39,34,1313.89,537.50745,692.8,234.29,2271.2,817.92405,1184,457.39,25.305,5.912225,13.545,4.66,728,293.255,388,139,27.22,12.4099,17.5,2.35,226.2,83.201,119,48,131.3,60.9415,120,3,2.3
Ge0.02Si0.98,2,"[['Ge', '0.02'], ['Si', '0.98']]",46,14.36,32,14,100.6955,28.97599,72.61,28.0855,236,111.28,125,111,231,111.18,120,111,0.93,0.4026,0.53,0.4,8,4,4,4,14,6.04,8,6,22,8.12,14,8,10,0.2,10,0,8,4,4,4,1548.5,785.914,786.4,762.1,78,37.08,41,37,2898,1675.56,1685,1213,6078,2956.44,3125,2953,7.653,2.38986,5.323,2.33,1031,702.22,710,321,82.03,49.8326,50.2,31.83,693,358.5,359,334,210,148.2,150,60,1.08
Cd4As2Br3,3,"[['Cd', '4'], ['As', '2'], ['Br', '3']]",116,40.33333333,48,33,267.23659,93.24435333,112.411,74.92159,369,128.2222222,161,94,383,130.4444444,144,119,3.51,1.213333333,1.96,0.58,12,3.666666667,5,2,26,8.888888889,10,8,50,17,18,15,40,14.44444444,20,10,14,4.333333333,7,2,2954.6,976.0555556,1139.9,867.7,96.9,34.18888889,46,21.9,860.16,352.7488889,594.26,0,2256.91,769.5255556,1040,331.91,17.3648,6.101822222,8.542,3.1028,1505,490.7777778,947,230,39.63,10.80888889,27.72,5.8,147.52,56.68777778,100.08,14.99,146.12,53.81777778,96,0.12,1.88
PbBiO2Cl,4,"[['Pb', 1], ['Bi', 1], ['O', '2'], ['Cl', 1]]",190,39.6,83,8,467.63247,96.726374,208.98037,15.9994,424,94.4,154,48,462,105.6,148,66,5.43,1.366,1.81,1.03,16,3.6,5,2,34,7.6,12,4,68,14.4,27,4,60,12,30,0,22,5.6,7,4,3983.8,1059.54,1313.9,703.3,120.6,25.32,50,6,1371.77,285.226,600.65,54.36,4205.288,859.0952,2024,90.188,21.144221,4.2291104,11.34,0.001331,1646,513,919,122,19.1,3.864,10.89,0.22,350.35,70.752,176.72,3.41,43.03548,8.612412,35,0.0089,2.45
CuInSe2,3,"[['Cu', 1], ['In', 1], ['Se', '2']]",112,36.5,49,29,257.324,84.071,114.818,63.546,404,126.75,156,103,394,128.5,142,120,2.03,0.6325,0.8,0.5,11,4.25,6,2,25,8.25,10,7,47,15.75,19,12,40,12.5,20,10,10,4,6,1,2244.6,796.375,940.9,558.3,144,42.5,65,26,2277.48,691.87,1357.7,429.78,6156,1778.5,2855,958,20.68,6.29,8.92,4.48,938,314.75,384,233,21.69,6.7725,13.02,3.27,550.87,144.2175,300,26,482.52,120.76,400,0.52,0.96
CdSe,2,"[['Cd', 1], ['Se', 1]]",82,41,48,34,191.371,95.6855,112.411,78.96,264,132,161,103,264,132,144,120,1.47,0.735,0.97,0.5,8,4,6,2,18,9,10,8,34,17,18,16,30,15,20,10,8,4,6,2,1808.6,904.3,940.9,867.7,72,36,46,26,1084.26,542.13,594.26,490,1998,999,1040,958,13.022,6.511,8.542,4.48,551,275.5,321,230,11.51,5.755,6.11,5.4,126.08,63.04,100.08,26,96.52,48.26,96,0.52,1.67
EuBi2Te4,3,"[['Eu', 1], ['Bi', '2'], ['Te', '4']]",198,62.42857143,83,52,488.54537,154.3322486,208.98037,127.6,497,144.1428571,231,123,484,149.4285714,198,138,2.947,0.983857143,1.03,0.947,14,5.285714286,6,3,34,10.85714286,12,10,73,23.71428571,27,22,70,22.85714286,30,20,13,5.142857143,6,2,2258.7,855.3142857,1008.4,547,274,62.14285714,187,37,2030.39,533.6257143,1099,386.8,4022.39,1035.222857,1852,457.39,19.719,6.214142857,9.8,4.66,505,175.7142857,201,122,37.69,14.44,17.5,9.3,383.88,98.26857143,175.88,48,25,6,14,3,0.44
La4InSbS9,4,"[['La', '4'], ['In', 1], ['Sb', 1], ['S', '9']]",173,31.46666667,57,16,407.5465,72.05273333,138.9055,32.066,571,123.4666667,195,87,593,136.9333333,207,105,2.991,0.608933333,1.061,0.37,17,4.933333333,6,3,38,8.133333333,12,6,74,15.06666667,24,10,61,8.266666667,21,0,16,4.666666667,6,2,2929.68,836.0413333,999.58,538.1,339.6,75.09333333,210,19.6,2915.03,640.0606667,1193,388.36,8716.824,1712.561067,3743,717.824,22.095,3.751533333,7.28,1.957,1340,504.3333333,705,195,31.13,4.254,19.85,1.73,701.67,132.0046667,400,9.8,119.205,10.65633333,82,0.205,2.07
ZnS,2,"[['Zn', 1], ['S', 1]]",46,23,30,16,97.456,48.728,65.39,32.066,229,114.5,142,87,227,113.5,122,105,1.11,0.555,0.74,0.37,8,4,6,2,14,7,8,6,22,11,12,10,10,5,10,0,8,4,6,2,1905.98,952.99,999.58,906.4,58.6,29.3,39,19.6,1081.16,540.58,692.8,388.36,1901.824,950.912,1184,717.824,9.057,4.5285,7.1,1.957,1093,546.5,705,388,9.1,4.55,7.37,1.73,128.8,64.4,119,9.8,120.205,60.1025,120,0.205,3.78
SbI3,2,"[['Sb', 1], ['I', '3']]",104,52.5,53,51,248.66147,125.6176025,126.90447,121.757,248,119.5,133,115,278,139,139,139,2.96,1.84,2.2,0.76,12,6.5,7,5,20,10,10,10,44,22.5,23,21,40,20,20,20,12,6.5,7,5,1702.9,860.325,869.2,833.7,80,37.5,45,35,1626.69,768.0725,903.89,722.8,3195,1439.75,1913,1282,12.924,6.351,6.684,6.24,636,373.5,429,207,27.68,10.835,19.85,7.83,87.9,32.425,67,20.9,24.449,6.33675,24,0.449,2.12
YbIn3S6,3,"[['Yb', 1], ['In', '3'], ['S', '6']]",135,31.3,70,16,319.924,70.989,173.04,32.066,465,121.2,222,87,434,124.3,187,105,2.028,0.5478,0.858,0.37,12,4.8,6,3,28,7.8,12,6,53,14.1,24,10,40,8,20,0,11,4.7,6,2,2160.88,827.538,999.58,558.3,226.6,45.46,142,19.6,1915.14,471.65,1097,388.36,4763.824,1303.8944,2343,717.824,16.214,4.0559,7.28,1.957,1092,508.3,705,154,12.7,2.789,7.7,1.73,393.8,89.254,224.87,9.8,121.205,28.623,82,0.205,1.31
GaAs,2,"[['Ga', 1], ['As', 1]]",64,32,33,31,144.64459,72.322295,74.92159,69.723,250,125,136,114,241,120.5,122,119,1.2,0.6,0.62,0.58,8,4,5,3,16,8,8,8,28,14,15,13,20,10,10,10,8,4,5,3,1525.8,762.9,947,578.8,83,41.5,54,29,302.93,151.465,302.93,0,3138,1569,2253,885,11.623,5.8115,5.903,5.72,699,349.5,371,328,33.33,16.665,27.72,5.61,288.45,144.225,256,32.45,79,39.5,50,29,1.52
Ag8GeS6,3,"[['Ag', '8'], ['Ge', 1], ['S', '6']]",95,33.6,47,16,212.5442,75.19677333,107.8682,32.066,377,131.1333333,165,87,370,127.3333333,145,105,2.16,0.855333333,1.26,0.37,11,3.2,6,1,23,7.733333333,9,6,42,14.53333333,18,10,30,11.33333333,20,0,11,3.2,6,1,2492.68,840.5053333,999.58,731,112.6,38.30666667,52,19.6,2836.44,894.92,1235.08,388.36,6279.824,1795.196267,3125,717.824,17.78,6.737666667,10.5,1.957,1261,428.7333333,705,235,44.87,8.846,31.83,1.73,597.99,161.7546667,334,9.8,490.205,233.4153333,430,0.205,1.18
Cs4GeP4Se12,4,"[['Cs', '4'], ['Ge', 1], ['P', '4'], ['Se', '12']]",136,34.28571429,55,15,315.449192,79.79270324,132.90543,30.973762,624,140.2380952,298,98,591,141.1428571,244,107,3.08,0.701428571,1.67,0.38,16,4.761904762,6,1,33,8.19047619,11,6,63,16.0952381,24,9,40,10,20,0,16,4.761904762,6,1,3090.4,838.2142857,1011.7,375.7,490.6,97.4952381,399,24.6,2322.25,455.7142857,1213,302,5587.85,982.8761905,3125,553.15,13.5095,3.51947619,5.323,1.828,1653,391.2857143,769,242,39.96,5.121428571,31.83,0.64,436.4,45.31428571,334,12.4,96.756,10.05638095,60,0.236,2
AgN3,2,"[['Ag', 1], ['N', '3']]",54,17,47,7,121.87494,37.472105,107.8682,14.00674,221,83.25,165,56,216,89.5,145,71,1.39,0.4125,1.26,0.13,4,2.5,3,1,13,5.25,9,4,21,6.75,18,3,20,5,20,0,6,4,5,1,2133.3,1234.475,1402.3,731,59.4,18.55,52,7.4,1298.26,356.155,1235.08,63.18,2514.35,667.2625,2437,77.35,10.5011165,2.625837375,10.5,0.0011165,1275,838.75,1040,235,11.67,3.0975,11.31,0.36,256.98,65.64,254.19,2.79,430.02583,107.5193725,430,0.02583,3.44
Sm1.82Lu2.18Se6,3,"[['Sm', '1.82'], ['Lu', '2.18'], ['Se', '6']]",167,47.162,71,34,404.287,112.884326,174.967,78.96,558,152.422,238,103,505,148.802,198,120,2.312,0.660312,0.964,0.5,12,4.8,6,3,32,9.6,12,8,64,19.2,24,16,51,14.218,21,10,10,4.4,6,2,2007.9,777.598,940.9,524,368,83.172,194,26,3760.3,958.4946,1925,490,6637,1738.086,3603,958,21.858,6.205108,9.842,4.48,671,261.844,321,154,35.9,9.583,22,5.4,616,137.92,415,26,29.52,6.166,16,0.52,1.51
Si2Te3,2,"[['Si', '2'], ['Te', '3']]",66,36.8,52,14,155.6855,87.7942,127.6,28.0855,234,118.2,123,111,249,127.2,138,111,1.37,0.742,0.97,0.4,10,5.2,6,4,16,8.4,10,6,30,16.4,22,8,20,12,20,0,10,5.2,6,4,1794.8,919.6,1008.4,786.4,74,37,37,37,2071.8,906.08,1685,386.8,3410.39,1455.634,2953,457.39,6.99,3.728,4.66,2.33,911,404.6,710,201,67.7,30.58,50.2,17.5,407,172.4,359,48,153,61.8,150,3,2.03
LaMg2PdH7,4,"[['La', 1], ['Mg', '2'], ['Pd', 1], ['H', '7']]",116,12.18181818,57,1,270.63844,27.36282545,138.9055,1.00794,562,93.18181818,195,53,518,76.81818182,207,31,2.653,0.313181818,1.061,0.012,10,1.636363636,4,1,27,3.545454545,12,1,48,4.909090909,24,0,41,3.727272727,21,0,23,2.818181818,18,1,3392.8,1091.136364,1312,538.1,317.5,37.77272727,210,4.5,3956.96,451.2472727,1827,13.96,8354.54,895.9118182,3743,20.39,19.93508987,1.970329917,12.023,8.99E-05,15755,9325,14300,195,32.548,4.077818182,16.75,0.558,908.45,94.46818182,400,0.45,244.1805,36.84213636,160,0.1805,1
SiAs,2,"[['Si', 1], ['As', 1]]",47,23.5,33,14,103.00709,51.503545,74.92159,28.0855,225,112.5,114,111,230,115,119,111,0.98,0.49,0.58,0.4,9,4.5,5,4,14,7,8,6,23,11.5,15,8,10,5,10,0,9,4.5,5,4,1733.4,866.7,947,786.4,66,33,37,29,1685,842.5,1685,0,3838,1919,2953,885,8.05,4.025,5.72,2.33,1038,519,710,328,77.92,38.96,50.2,27.72,391.45,195.725,359,32.45,200,100,150,50,1.57
CsErZnSe3,4,"[['Cs', 1], ['Er', 1], ['Zn', 1], ['Se', '3']]",187,42.5,68,30,444.51543,100.405905,167.26,65.39,769,162.5,298,103,675,152.5,244,120,3.791,0.7985,1.67,0.5,12,4,6,1,39,9.166666667,12,8,76,18,24,12,60,13.33333333,20,10,11,3.833333333,6,1,2812,782.3,940.9,375.7,617,111.5,399,26,3254.8,705.8,1770,302,6266.7,1363.783333,3173,951.7,22.5095,5.244916667,9.051,1.8785,1119,293.5,388,168,34.76,7.593333333,19.9,2.09,494,91,285,26,171.52,28.76,120,0.52,2.56
GaSb,2,"[['Ga', 1], ['Sb', 1]]",82,41,51,31,191.48,95.74,121.757,69.723,269,134.5,136,133,261,130.5,139,122,1.38,0.69,0.76,0.62,8,4,5,3,18,9,10,8,34,17,21,13,30,15,20,10,8,4,5,3,1412.5,706.25,833.7,578.8,99,49.5,54,45,1206.82,603.41,903.89,302.93,4166,2083,2253,1913,12.587,6.2935,6.684,5.903,578,289,371,207,25.46,12.73,19.85,5.61,323,161.5,256,67,53,26.5,29,24,0.7
Pb2Nb2Se4O15,4,"[['Pb', '2'], ['Nb', '2'], ['Se', '4'], ['O', '15']]",165,21.82608696,82,8,395.06578,50.26277217,207.2,15.9994,503,79.82608696,198,48,496,90.86956522,164,66,3.78,1.163478261,1.4,0.5,17,3.130434783,6,2,33,5.826086957,12,4,64,9.217391304,26,4,54,5.565217391,30,0,17,5.391304348,6,1,3634.3,1140.482609,1313.9,664,188,22,106,6,3895.01,412.0304348,2750,54.36,8208.188,848.0356522,5136,90.188,24.391331,2.511302826,11.34,0.001331,1632,689.2608696,919,127,37.19,3.827826087,26.8,0.22,896.13,82.1126087,690,3.41,89.54658,7.8469,54,0.02658,2.79
RbAg5P2S8,4,"[['Rb', 1], ['Ag', '5'], ['P', '2'], ['S', '8']]",115,26.875,47,15,256.375762,58.95527025,107.8682,30.973762,615,123.875,265,87,577,124.9375,220,105,3.53,0.72125,1.52,0.37,13,4,6,1,30,7.125,9,6,55,12.875,18,9,30,6.875,20,0,13,4,6,1,3145.28,879.8775,1011.7,403,414.2,49,318,19.6,2252.69,639.29875,1235.08,312,4674.974,1250.05575,2437,553.15,15.815,4.583875,10.5,1.53,2073,544.8125,769,235,15.87,4.61625,11.31,0.64,347.39,90.321875,254.19,9.8,488.441,138.132,430,0.205,2.4
Ba2InYTe5,4,"[['Ba', '2'], ['In', 1], ['Y', 1], ['Te', '5']]",196,51.11111111,56,39,468.65085,124.0419833,137.327,88.90585,744,165.4444444,253,123,685,161.3333333,215,138,4.02,1.027777778,1.35,0.8,14,4.444444444,6,2,42,10.44444444,12,10,83,21.66666667,24,18,71,19,20,11,13,4.333333333,6,2,2685.6,802.4555556,1008.4,502.9,517,103,262,37,3617.88,684.82,1803,386.8,8499.59,1383.483333,3577,457.39,20.008,4.693111111,7.28,3.59,937,216.2222222,298,201,40.17,13.13,17.5,3.27,792.87,124.9855556,380,48,120,16.66666667,82,3,1.36
LiZnN,3,"[['Li', 1], ['Zn', 1], ['N', 1]]",40,13.33333333,30,3,86.33774,28.77924667,65.39,6.941,365,121.6666667,167,56,321,107,128,71,1.63,0.543333333,0.76,0.13,6,2,3,1,15,5,8,3,15,5,12,0,10,3.333333333,10,0,8,2.666666667,5,1,2828.9,942.9666667,1402.3,520.2,210.4,70.13333333,164,7.4,1209.67,403.2233333,692.8,63.18,2880.51,960.17,1619.16,77.35,7.6351165,2.545038833,7.1,0.0011165,4998,1666,3570,388,10.73,3.576666667,7.37,0.36,268.79,89.59666667,147,2.79,205.02583,68.34194333,120,0.02583,1.98
In0.7Al0.3P,3,"[['In', '0.7'], ['Al', '0.3'], ['P', 1]]",77,26.6,49,13,172.773301,59.72041185,114.818,26.981539,372,121.3,156,98,370,121.35,142,107,1.715,0.55025,0.8,0.38,11,4,5,3,22,7.4,10,6,35,12.2,19,7,20,7,20,0,11,4,5,3,2147.6,787.895,1011.7,558.3,145.6,43.45,65,24.6,1680.55,449.076,933.52,317.25,5616.15,1504.625,2720,553.15,11.8064,3.86676,7.28,1.828,1906,601.65,904,233,14.59,3.0665,10.68,0.64,530.27,128.8545,293,12.4,317.236,64.068,235,0.236,1.9
CdSe,2,"[['Cd', 1], ['Se', 1]]",82,41,48,34,191.371,95.6855,112.411,78.96,264,132,161,103,264,132,144,120,1.47,0.735,0.97,0.5,8,4,6,2,18,9,10,8,34,17,18,16,30,15,20,10,8,4,6,2,1808.6,904.3,940.9,867.7,72,36,46,26,1084.26,542.13,594.26,490,1998,999,1040,958,13.022,6.511,8.542,4.48,551,275.5,321,230,11.51,5.755,6.11,5.4,126.08,63.04,100.08,26,96.52,48.26,96,0.52,1.84
